rating,text,word_count,food,service,place,cost,count
2 sao,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!",104,0,2,1,1,1
2 sao,"01042025 chê: - phần bún free mình không đòi hỏi nó phải nhiều nhưng ít ra cũng phải đẹp mắt, dĩa bún bưng ra có cục nát, cục vụn, còn thua cả dĩa bún lúc sau mình order thêm - không gian quán chật, hũ gia vị được đặt lên ghế, có bàn khác để được giá đũa lên bàn cũng bị khách lỡ tay hất đất, ngồi chật rất không thoải mái - tóp mỡ cứng, ăn trúng phải đau răng nhé - hũ ớt ba chấm vô cùng, vài trái chuyển sang màu sẫm như sắp hư, có trái héo, trái bị cắt dang dở khen: - tuy chật nhưng quán sắm quạt treo rất nhiều để đảm bảo khách mát. - nhân viên thông báo kỹ về khẩu phần free cảm nhận: - theo dõi facebook quán cũng khá lâu, mình đến vì muốn được ăn ngon chứ mình không đến vì bún free, rau free. mà bưng dĩa bún free bị nát ra, mất thiện cảm vô cùng. khẩu vị mình cũng không hợp với quán, từ mắm tôm mặn đến chả cốm. ra bill 132 vnd được cái đồ ăn rất nhiều, ăn no nhưng vì khẩu vị và cách thức phục vụ của quán, xin phép cho 2 sao",215,1,3,1,3,1
4 sao,1 vị trí quán nằm ngay mặt tiền đường nên rất dễ tìm thấy. gần chợ gò vấp sắp đến chợ thuộc đường nguyễn thái sơn 2 không gian quán có một trệt một lầu nhưng hai không gian riêng biệt bên dưới ngay quầy bar nên khá ồn ào không tiện nói chuyên bên trên thì mọi người chiếm bàn ngồi làm việc học tập các kiểu bàn ghế rất có sự sáng tạp khi sử dụng vật liệu cũ và biến thành đồ giá trị 3 thức uống khá phong phú nhưng không nhiều sự lựa chọn. 4 giá xem xem với các quán nổi tiếng khác không rẻ 5 phục vụ nhân viên xoa rót nươca liên tục nhưng lại không hướng dẫn bàn cho khách khi khách bước vào mà nhân viên cho khách tự tìm bàn. đi lên lầu xuống lầu cũng ngại chút,149,0,1,3,1,1
4 sao,"quang cảnh vẫn như cách đây 5 năm, không mấy thay đổi. chất lượng phục vụ bình thường.",18,0,3,3,0,1
5 sao,"nhà hàng khá rộng rãi, có không gian chung thoáng và phòng vip riêng, phục vụ và món ăn ổn với tầm giá",23,3,3,2,3,1
3 sao,"món ăn: canh bún lạ miệng với topping bao gồm huyết, da heo, chả, riêu cua, đậu hũ và rau luộc. vị vừa ăn, nhưng hơi khó tiêu. giá: 1 tô 40 vnd theo mình là khá cao so với chất lượng món ăn và topping như trên không gian: mặt tiền thoải mái phục vụ: nhiệt tình",58,3,2,3,1,1
4 sao,"poseidon gò vấp có không gian rộng rãi, bài trí hiện đại và thoải mái. tuy nhiên, vào giờ cao điểm khá đông và ồn ào, đôi lúc gây cảm giác ngột ngạt. nhân viên phục vụ nhiệt tình, nhưng đôi khi chậm khi đông khách, đặc biệt là ở khâu dọn bàn và hỗ trợ khách hàng. hải sản là các loại tôm, cua, hàu và mực khá tươi, nhưng việc phải chờ đợi lâu tại quầy chế biến làm giảm hứng thú. món ổn nhưng không đặc sắc, quầy sushi và salad chỉ đạt mức trung bình. góc đồ ngọt là điểm trừ lớn, ít lựa chọn và không hấp dẫn. về nước uống các loại nước ngọt cơ bản, không có quầy nước trái cây điểm trừ. với chi phí 0đ2 người, trải nghiệm tại poseidon ở mức tạm ổn. nhà hàng cần cải thiện quầy hải sản để giảm thời gian chờ, bổ sung thêm đồ ngọt và nâng cao chất lượng dịch vụ. mình chấm 7,5đ.",171,3,1,1,3,1
5 sao,"thấy có vẻ nhiều người chê nhưng trải nghiệm của mình lại khá ổn. đồ ăn: tuỳ món, giá khá ổn, gà sốt phô mai mình thử siêu ngon ăn nghiện luôn, miếng nào cũng nhiều sốt, đáng thử. tuy nhiên bên lotteria sử dụng muỗng, nĩa nhựa khá khó ăn, mô hình tự phục vụ. 55 dịch vụ: nhân viên bình thường, ít, thái độ chưa niềm nở lắm nhưng cũng không tới mức quá đáng, đồ ăn ra nhanh và nóng. các bác bảo vệ rất dễ thương và niềm nở nhé hehe. 45 không gian: rộng rãi sáng sủa có máy lạnh nhé, chi nhánh bên này tận 2,3 tầng nên không lo thiếu chỗ, có các bàn kế bên mặt kính view ngắm đường cũng rất đẹp, nhưng sẽ hơi chói chang khi đi vào tầm trưa. mình đi 2h trưa nên vắng, yên tĩnh như quán cà phê chạy deadline một số hôm tổ chức sinh nhật thì ồn ào lắm. cách bày trí sắp xếp bàn ghế khá đẹp và thoáng, màu chủ đạo đỏ, trắng, nhân viên dọn dẹp thường xuyên nên sạch sẽ và mùi dễ chịu. để xe free trước cửa. điểm cộng: phía trong có dịch vụ 2-3 phòng riêng biệt để học nhóm đầy đủ máy lạnh, bàn ghế dài sạch sẽ đăng kí trước với bên lotteria 55 chung quy lại: nếu để lên ăn uống xong đi về thì ổn, giá như thế nên cx không yêu cầu quá cao về nhân viên mấy, hoan hỉ thôi.",260,2,3,2,2,1
5 sao,"về đồ ăn thì nước lèo hơi nhạt so với mình. không gian quán thoáng đoãng để ăn lẩu và có bạt che mưa nếu trời có đổ cơn. phù hợp với mọi đối tượng có nhu cầu ăn uống, đáp ứng đủ về mặt dịch vụ nhé. mình đi 5 người chia ra thì chỉ tầm hơn 100 một người thui nè, sinh viên cũng có thể thử nếu muốn nhé. đây là quán có nhiều chi nhánh rất tiện lợi cho các bạn hay di chuyển mà thích ăn lẩu bò nhé. ahebfvoaheoiewjdpajw là z đó mấy ní. đừng lại vào ăn thử nheng.",106,1,3,2,2,1
5 sao,"quán nổi tiếng và lúc nào cũng đông khách, không khí nhộn nhịp. nhân viên phục vụ nhanh nhẹn, lanh tay, nhưng món lên hơi lâu do khách đông. về chất lượng thì vị lẩu ổn, không quá xuất sắc nhưng đáng thử, tụi mình đi 3 người, gọi thêm vài món khác nữa hết tầm 600 vnd. quán hơi chật, bàn kê sát nhau nên ra vào hơi khó, ai đi đông thì nên đặt trước cho chắc nhé.",80,3,2,1,3,1
5 sao,"đồ ăn có món ngon món chế biến chưa tới, nhân viên nhanh nhẹn thái độ tốt, view đẹp nhìn xuống ngã 5 và cầu, giá cả dao động 150 200 vnd món",33,3,2,2,3,1
4 sao,"bánh canh ở đây khá ngon và đầy đủ. đi buổi sáng, đầy đủ có huyết. nhưng chiều tối lại không có, theo mình thấy khá đông và không có khăn giấy, chỉ có khăn ướt. nếu mọi người đi sáng sớm thì chuẩn bị tiền lẻ, sáng sớm chưa đủ tiền thối nên hơi bất tiện, hoặc chuyển khoản vẫn được. mọi người ghé thử khẩu vị xem như nào, theo mình thấy ăn vừa vị ổn, giá là 45 vnd cho tô thường. tuần ăn nhiều tiền cũng hơi chua",92,2,1,1,3,1
4 sao,"đồ ăn ngon, nhưng rất mặn. đồ ăn lên khá nhanh. dịch vụ ổn, do thường đông khách nên lâu lâu lên đồ ăn hơi chậm. ngồi ngoài thì không có quạt nên khá nóng. bàn nhỏ, chỗ ngồi rất chật.",41,1,3,1,0,1
1 sao,"giá quá đặt cách phục vụ như dở hơi, ngồi quán siêu nóng. vào lại sài gòn thì không bao giờ bước chân vào đây nữa",26,0,1,1,1,1
1 sao,quán phục vụ tệ nhân viên nhăng nhăng mặc dù mìn ăn uống trả tiền đàng hoàng í. quán khá to nhma phục vụ tệ hơn rất nhiều quán trong khu vực mình cực kì không thích,37,0,1,3,0,1
