original,augmented,food,service,place,cost,source_index,similarity
"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","Máy pha chế không có hộp cách âm nên mỗi lần hoạt động rất ồn, không phù hợp với những ai cần không gian yên tĩnh để làm việc. Nhạc trong quán được mở theo gu của nhân viên nên quán không có phong cách âm nhạc riêng. Nhân viên nói chuyện khá vô tư, thỉnh thoảng còn chen vài câu dm duyên duyên. Bàn ghế ngồi không thật sự thoải mái, có cái còn hơi bấp bênh. Menu khá bình thường, giá còn nhỉnh hơn cả The Coffee House hay Cộng. Cà phê sữa đá 35k, mình chấm 2 sao vì chú bảo vệ khá thân thiện.",0,2,1,1,,0.9567713
"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","Quán dùng máy pha chế nhưng không có hộp chống ồn nên lúc pha rất ồn, ai cần yên tĩnh làm việc chắc sẽ không hợp. Nhạc mở theo sở thích của nhân viên nên quán không tạo được phong cách riêng. Nhân viên trò chuyện khá hồn nhiên, đôi lúc xen vài câu dm nghe cũng duyên. Bàn ghế ngồi chưa thoải mái lắm, có cái còn bị lắc nhẹ. Menu không có gì nổi bật, giá thì còn cao hơn The Coffee House với Cộng. Cà phê sữa đá 35k, cho 2 sao vì chú bảo vệ dễ thương.",0,2,1,1,,0.9359622
"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","Máy móc pha chế của quán không có cách âm nên khi hoạt động khá ồn, không thích hợp cho người muốn ngồi làm việc yên tĩnh. Nhạc thì chỉnh theo gu nhân viên nên quán thiếu phong cách riêng. Nhân viên nói chuyện tự nhiên quá mức, thỉnh thoảng thêm vài câu dm khá duyên. Bàn ghế ngồi chưa được thoải mái, có chiếc còn hơi chông chênh. Menu cũng bình thường, giá lại nhỉnh hơn cả The Coffee House và Cộng. Cà phê sữa đá 35k, mình cho 2 sao vì chú bảo vệ thân thiện.",0,2,1,1,,0.9308983
"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","Do máy pha chế không có hộp chống ồn nên mỗi lần pha rất ồn, ai cần sự yên tĩnh để làm việc sẽ thấy không hợp. Nhạc trong quán do nhân viên chọn nên không có phong cách riêng. Nhân viên nói chuyện khá hồn nhiên, có lúc thêm vài câu dm nghe cũng duyên. Bàn ghế thì không thật sự thoải mái, vài cái còn bị bấp bênh. Menu khá đơn giản, giá lại cao hơn cả The Coffee House và Cộng. Cà phê sữa đá 35k, chấm 2 sao vì chú bảo vệ dễ mến.",0,2,1,1,,0.93780935
"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","Quán dùng máy pha chế nhưng không trang bị hộp cách âm nên tiếng ồn khá lớn khi pha, không hợp cho người cần tập trung làm việc. Nhạc mở theo sở thích của nhân viên nên thiếu phong cách riêng cho quán. Nhân viên trò chuyện khá vô tư, thi thoảng còn chen vài câu dm duyên duyên. Bàn ghế ngồi không được thoải mái lắm, có chiếc còn lắc lư. Menu cũng không có gì đặc sắc, giá lại nhỉnh hơn The Coffee House với Cộng. Cà phê sữa đá 35k, mình cho 2 sao vì chú bảo vệ thân thiện.",0,2,1,1,,0.9225299
"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","Máy pha chế không được cách âm nên mỗi lần sử dụng khá ồn ào, không phù hợp với ai cần yên tĩnh để làm việc. Nhạc trong quán được chỉnh theo gu của nhân viên nên quán thiếu phong cách riêng. Nhân viên nói chuyện khá tự nhiên, có lúc còn buông vài câu dm nghe cũng duyên. Bàn ghế ngồi chưa thoải mái, một số cái còn hơi chông chênh. Menu bình thường, giá lại cao hơn cả The Coffee House và Cộng. Cà phê sữa đá 35k, cho 2 sao vì chú bảo vệ thân thiện.",0,2,1,1,,0.9321674
"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","Quán không có hộp cách âm cho máy pha chế nên khi pha đồ uống rất ồn, không thích hợp với người muốn ngồi yên tĩnh làm việc. Nhạc mở theo gu nhân viên nên quán không có phong cách riêng. Nhân viên nói chuyện khá hồn nhiên, đôi khi kèm vài câu dm nghe cũng duyên. Bàn ghế ngồi chưa thoải mái, có cái còn bấp bênh. Menu không có gì đặc biệt, giá còn cao hơn The Coffee House và Cộng. Cà phê sữa đá 35k, mình cho 2 sao vì chú bảo vệ thân thiện.",0,2,1,1,,0.9610841
"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","Do máy pha chế không có cách âm nên mỗi lần pha rất ồn, không phù hợp cho người cần không gian yên tĩnh để làm việc. Nhạc được mở theo sở thích nhân viên nên quán thiếu phong cách riêng. Nhân viên nói chuyện khá thoải mái, thỉnh thoảng xen vài câu dm duyên duyên. Bàn ghế ngồi chưa thật sự dễ chịu, có cái còn hơi lung lay. Menu khá bình thường, giá thì nhỉnh hơn The Coffee House với Cộng. Cà phê sữa đá 35k, chấm 2 sao vì chú bảo vệ thân thiện.",0,2,1,1,,0.94186115
"01042025 chê: - phần bún free mình không đòi hỏi nó phải nhiều nhưng ít ra cũng phải đẹp mắt, dĩa bún bưng ra có cục nát, cục vụn, còn thua cả dĩa bún lúc sau mình order thêm - không gian quán chật, hũ gia vị được đặt lên ghế, có bàn khác để được giá đũa lên bàn cũng bị khách lỡ tay hất đất, ngồi chật rất không thoải mái - tóp mỡ cứng, ăn trúng phải đau răng nhé - hũ ớt ba chấm vô cùng, vài trái chuyển sang màu sẫm như sắp hư, có trái héo, trái bị cắt dang dở khen: - tuy chật nhưng quán sắm quạt treo rất nhiều để đảm bảo khách mát. - nhân viên thông báo kỹ về khẩu phần free cảm nhận: - theo dõi facebook quán cũng khá lâu, mình đến vì muốn được ăn ngon chứ mình không đến vì bún free, rau free. mà bưng dĩa bún free bị nát ra, mất thiện cảm vô cùng. khẩu vị mình cũng không hợp với quán, từ mắm tôm mặn đến chả cốm. ra bill 132 vnd được cái đồ ăn rất nhiều, ăn no nhưng vì khẩu vị và cách thức phục vụ của quán, xin phép cho 2 sao","Ngày 01/04/2025. Chê: phần bún free tuy không đòi hỏi nhiều nhưng ít nhất cũng nên đẹp mắt, dĩa bún đem ra toàn cục nát và vụn, còn tệ hơn cả dĩa bún mình gọi thêm sau đó. Không gian quán khá chật, hũ gia vị đặt lên ghế, có bàn khác để giá đũa trên bàn còn bị khách lỡ tay làm rơi xuống đất, ngồi rất không thoải mái. Tóp mỡ khá cứng, ăn trúng dễ đau răng. Hũ ớt thì ba chấm, có vài trái chuyển màu sẫm như sắp hư, có trái héo hoặc bị cắt dở. Khen: quán tuy chật nhưng treo rất nhiều quạt nên vẫn khá mát. Nhân viên cũng thông báo rõ khẩu phần free. Cảm nhận: mình theo dõi Facebook quán lâu rồi, đến đây vì muốn ăn ngon chứ không phải vì bún hay rau free. Nhưng dĩa bún free bị nát làm mình mất thiện cảm. Khẩu vị cũng không hợp, từ mắm tôm mặn đến chả cốm. Tổng bill 132k, đồ ăn nhiều và no nhưng vì khẩu vị và cách phục vụ nên mình cho 2 sao.",1,3,1,3,,0.92994225
"01042025 chê: - phần bún free mình không đòi hỏi nó phải nhiều nhưng ít ra cũng phải đẹp mắt, dĩa bún bưng ra có cục nát, cục vụn, còn thua cả dĩa bún lúc sau mình order thêm - không gian quán chật, hũ gia vị được đặt lên ghế, có bàn khác để được giá đũa lên bàn cũng bị khách lỡ tay hất đất, ngồi chật rất không thoải mái - tóp mỡ cứng, ăn trúng phải đau răng nhé - hũ ớt ba chấm vô cùng, vài trái chuyển sang màu sẫm như sắp hư, có trái héo, trái bị cắt dang dở khen: - tuy chật nhưng quán sắm quạt treo rất nhiều để đảm bảo khách mát. - nhân viên thông báo kỹ về khẩu phần free cảm nhận: - theo dõi facebook quán cũng khá lâu, mình đến vì muốn được ăn ngon chứ mình không đến vì bún free, rau free. mà bưng dĩa bún free bị nát ra, mất thiện cảm vô cùng. khẩu vị mình cũng không hợp với quán, từ mắm tôm mặn đến chả cốm. ra bill 132 vnd được cái đồ ăn rất nhiều, ăn no nhưng vì khẩu vị và cách thức phục vụ của quán, xin phép cho 2 sao","01/04/2025. Điểm trừ: phần bún miễn phí mình không yêu cầu nhiều nhưng ít ra nhìn cũng nên gọn gàng, dĩa bún mang ra toàn cục nát với vụn, còn kém hơn dĩa bún mình gọi thêm sau đó. Không gian quán chật, hũ gia vị đặt trên ghế, có bàn để giá đũa trên bàn bị khách vô tình hất rơi xuống đất, ngồi khá chật và không thoải mái. Tóp mỡ cứng, ăn phải dễ đau răng. Hũ ớt thì hơi tệ, có trái chuyển màu sậm, trái héo hoặc cắt dang dở. Điểm cộng: quán dù nhỏ nhưng treo nhiều quạt nên vẫn mát. Nhân viên cũng giải thích rõ phần miễn phí. Cảm nhận: mình theo dõi Facebook quán lâu rồi, đến vì muốn ăn ngon chứ không phải vì đồ free. Nhưng dĩa bún free bị nát khiến mình mất thiện cảm. Khẩu vị cũng không hợp từ mắm tôm mặn đến chả cốm. Tổng bill 132k, đồ ăn nhiều và no nhưng mình vẫn chấm 2 sao.",1,3,1,3,,0.89924335
