source_index,original,augmented,food,service,place,cost
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Trăng Non có thể là nơi hẹn hò lý tưởng cho nhóm bạn lâu ngày chưa gặp, quán có view Landmark khá chill và thường trang trí theo các dịp lễ. Cuối tuần sẽ hơi đông nên nếu thích yên tĩnh bạn nên ghé vào đầu tuần. Nhân viên thân thiện, nhiệt tình, menu có mức giá tầm trung khá hợp lý.",0,2,2,3
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Quán Trăng Non phù hợp để tụ tập bạn bè sau thời gian dài không gặp, view Landmark nhìn khá chill và không gian được trang trí theo từng dịp lễ. Cuối tuần thường đông hơn nên ai thích yên tĩnh nên đi đầu tuần. Nhân viên dễ thương, phục vụ tận tình, giá trong menu ở mức trung bình.",0,2,2,3
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Nếu đang tìm chỗ gặp mặt bạn bè lâu ngày, Trăng Non là lựa chọn ổn với view Landmark chill và cách trang trí thay đổi theo các dịp lễ. Cuối tuần quán khá đông nên muốn yên tĩnh thì nên ghé vào đầu tuần. Nhân viên thân thiện, phục vụ chu đáo, giá menu tầm trung.",0,2,2,3
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Trăng Non là địa điểm thích hợp để gặp gỡ bạn bè lâu ngày chưa gặp, quán có view Landmark khá chill và trang trí theo mùa lễ. Cuối tuần khách hơi đông, vì vậy ai thích không gian yên tĩnh nên đi vào đầu tuần. Nhân viên thân thiện, phục vụ tận tình, menu giá tầm trung.",0,2,2,3
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Có thể chọn Trăng Non làm điểm hẹn cho bạn bè lâu ngày, view Landmark của quán khá chill và decor thay đổi theo các dịp lễ. Vào cuối tuần quán sẽ đông hơn một chút nên nếu thích yên tĩnh thì nên ghé đầu tuần. Nhân viên nhiệt tình, thân thiện, giá menu ở mức trung bình.",0,2,2,3
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Trăng Non là nơi khá ổn để gặp lại bạn bè lâu ngày, quán có view Landmark nhìn chill và trang trí theo từng dịp lễ. Cuối tuần thường đông khách nên ai thích sự yên tĩnh nên đi vào đầu tuần. Nhân viên thân thiện, phục vụ chu đáo, menu giá tầm trung.",0,2,2,3
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Quán Trăng Non thích hợp làm chỗ hẹn cho bạn bè lâu ngày chưa gặp, view Landmark khá chill và quán thường trang trí theo các dịp lễ. Cuối tuần sẽ đông hơn nên nếu muốn yên tĩnh bạn nên đi đầu tuần. Nhân viên thân thiện, phục vụ tận tình, giá menu vừa phải.",0,2,2,3
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Bạn có thể chọn Trăng Non làm nơi tụ tập bạn bè lâu ngày, quán có view Landmark khá chill và decor theo các dịp lễ. Cuối tuần hơi đông nên muốn không gian yên tĩnh thì nên ghé đầu tuần. Nhân viên thân thiện, phục vụ nhiệt tình, menu giá tầm trung.",0,2,2,3
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Trăng Non là điểm hẹn phù hợp cho bạn bè lâu ngày gặp lại, view Landmark của quán khá chill và cách trang trí thay đổi theo các dịp lễ. Cuối tuần quán sẽ đông hơn nên ai thích yên tĩnh nên đi vào đầu tuần. Nhân viên thân thiện, tận tình, giá menu ở mức trung bình.",0,2,2,3
30,"trăng non có thể là một điểm hẹn cho bạn bè lâu ngày chưa gặp, quán có view landmark khá chill, trang trí quán theo các dịp lễ, vào cuối tuần sẽ đông một chút, nếu bạn thích yên tĩnh thì nên đi vào các ngày đầu tuần . nhân viên thân thiện, tận tình, menu giá tầm trung, phù hợp.","Nếu muốn gặp gỡ bạn bè lâu ngày chưa gặp, Trăng Non là lựa chọn ổn với view Landmark khá chill và trang trí theo các dịp lễ. Cuối tuần quán sẽ đông hơn một chút, nên thích yên tĩnh thì nên ghé đầu tuần. Nhân viên thân thiện, phục vụ tận tình, menu giá tầm trung.",0,2,2,3
